year,level,conference,author,title,isBest
2018,"A","AAAI","Sijie Yan","Spatial Temporal Graph Convolutional Networks for Skeleton-Based Action Recognition.",false
2018,"A","ACM MM","Bei Liu","Beyond Narrative Description: Generating Poetry from Images by Multi-Adversarial Training.",true
2018,"A","ACM MM","Bo Zhao","Multi-View Image Generation from a Single-View",false
2018,"A","ACM MM","Guanshuo Wang","Learning Discriminative Features with Multiple Granularities for Person Re-Identification.",false
2018,"A","ACM MM","Jian Zhao","Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing.",true
2018,"A","ACM MM","Jindong Wang","Visual Domain Adaptation with Manifold Embedded Distribution Alignment.",false
2018,"A","CCS","George Klees","Evaluating Fuzz Testing.",false
2018,"A","CCS","Mahdi Zamani","RapidChain: Scaling Blockchain via Full Sharding.",false
2018,"A","CCS","Petar Tsankov","Securify: Practical Security Analysis of Smart Contracts.",false
2018,"A","CCS","Wenbo Guo","LEMNA: Explaining Deep Learning based Security Applications.",true
2018,"A","CCS","Zeyu Ding","Detecting Violations of Differential Privacy.",true
2018,"A","CHI","Amanda Lazar","Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy.",true
2018,"A","CHI","Andy Cockburn","HARK No More: On the Preregistration of CHI Experiments.",true
2018,"A","CHI","Ari Schlesinger","Let's Talk About Race: Identity, Chatbots, and AI.",true
2018,"A","CHI","Ashraf M. Abdul","Trends and Trajectories for Explainable, Accountable and Intelligible Systems: An HCI Research Agenda.",false
2018,"A","CHI","Daniela K. Rosner","Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork.",true
2018,"A","CHI","Florian 'Floyd' Mueller","Experiencing the Body as Play.",true
2018,"A","CHI","Foad Hamidi","Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems.",true
2018,"A","CHI","Francesco Vitale","Hoarding and Minimalism: Tendencies in Digital Data Preservation.",true
2018,"A","CHI","Jen Liu","Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships.",true
2018,"A","CHI","Jennifer Jacobs","Extending Manual Drawing Practices with Artist-Centric Programming Tools.",true
2018,"A","CHI","Kotaro Hara","A Data-Driven Analysis of Workers' Earnings on Amazon Mechanical Turk.",false
2018,"A","CHI","Mark Díaz","Addressing Age-Related Bias in Sentiment Analysis.",true
2018,"A","CHI","Martin Porcheron","Voice Interfaces in Everyday Life.",true
2018,"A","CHI","Megh Marathe","Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes.",true
2018,"A","CHI","Mikko Kytö","Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality.",true
2018,"A","CHI","Miro Mannino","Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches.",true
2018,"A","CHI","Nicholas Vincent","Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities.",true
2018,"A","CHI","Nicolas Villar","Project Zanzibar: A Portable and Flexible Tangible Interaction Platform.",true
2018,"A","CHI","Sean Peacock","Streets for People: Engaging Children in Placemaking Through a Socio-technical Process.",true
2018,"A","CHI","Sharifa Sultana","Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh.",true
2018,"A","CHI","Tamy Guberek","Keeping a Low Profile?: Technology, Risk and Privacy among Undocumented Immigrants.",true
2018,"A","CHI","Yongkwan Kim","Agile 3D Sketching with Air Scaffolding.",true
2018,"A","CHI","Zhicheng Liu","Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring.",true
2018,"A","CVPR","Amir Roshan Zamir","Taskonomy: Disentangling Task Transfer Learning.",true
2018,"A","CVPR","Barret Zoph","Learning Transferable Architectures for Scalable Image Recognition.",false
2018,"A","CVPR","Jie Hu","Squeeze-and-Excitation Networks.",false
2018,"A","CVPR","Mark Sandler","MobileNetV2: Inverted Residuals and Linear Bottlenecks.",false
2018,"A","FOCS","Diptarka Chakraborty","Approximating Edit Distance Within Constant Factor in Truly Sub-Quadratic Time.",true
2018,"A","FOCS","Mohsen Ghaffari","On Derandomizing Local Distributed Algorithms.",false
2018,"A","FOCS","Subhash Khot","Pseudorandom Sets in Grassmann Graph have Near-Perfect Expansion.",true
2018,"A","FOCS","Urmila Mahadev","Classical Verification of Quantum Computations.",true
2018,"A","FSE/ESEC","David Adrian","Imperfect Forward Secrecy: How Diffie-Hellman Fails in Practice",false
2018,"A","FSE/ESEC","Dileep Kini","Data Race Detection on Compressed Traces.",true
2018,"A","FSE/ESEC","Felix Pauck","Do Android Taint Analysis Tools Keep their Promises?",true
2018,"A","FSE/ESEC","James C. Davis","The impact of regular expression denial of service (ReDoS) in practice: an empirical study at the ecosystem scale.",true
2018,"A","FSE/ESEC","Justus Thies","Face2Face: Real-Time Face Capture and Reenactment of RGB Videos.",false
2018,"A","FSE/ESEC","Mingmin Zhao","Emotion recognition using wireless signals.",false
2018,"A","FSE/ESEC","Shengjian Guo","Adversarial Symbolic Execution for Detecting Concurrency-Related Cache Timing Leaks.",true
2018,"A","FSE/ESEC","Vaibhav Saini","Oreo: Detection of Clones in the Twilight Zone.",true
2018,"A","FSE/ESEC","Yu Gao","An empirical study on crash recovery bugs in large-scale distributed systems.",true
2018,"A","ICML","Anish Athalye","Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples.",true
2018,"A","ICML","Judy Hoffman","CyCADA: Cycle-Consistent Adversarial Domain Adaptation.",false
2018,"A","ICML","Lydia T. Liu","Delayed Impact of Fair Machine Learning.",true
2018,"A","ICML","Tuomas Haarnoja","Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor.",false
2018,"A","ICSE","Calvin Loncaric","Generalized data structure synthesis.",true
2018,"A","ICSE","Calvin Loncaric","Generalized data structure synthesis.",true
2018,"A","ICSE","Fabio Palomba","On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation.",false
2018,"A","ICSE","Fabio Palomba","On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation.",false
2018,"A","ICSE","Leonardo da Silva Sousa","Identifying design problems in the source code: a grounded theory.",true
2018,"A","ICSE","Leonardo da Silva Sousa","Identifying design problems in the source code: a grounded theory.",true
2018,"A","ICSE","Lingling Fan","Large-Scale Analysis of Framework-Specific Exceptions in Android Apps.",true
2018,"A","ICSE","Lingling Fan","Large-Scale Analysis of Framework-Specific Exceptions in Android Apps.",true
2018,"A","ICSE","Michael Rath","Traceability in the Wild: Automatically Augmenting Incomplete Trace Links.",true
2018,"A","ICSE","Michael Rath","Traceability in the Wild: Automatically Augmenting Incomplete Trace Links.",true
2018,"A","ICSE","Rijnard van Tonder","Static automated program repair for heap properties.",true
2018,"A","ICSE","Rijnard van Tonder","Static automated program repair for heap properties.",true
2018,"A","ICSE","Xiaodong Gu","Deep code search.",false
2018,"A","ICSE","Xiaodong Gu","Deep code search.",false
2018,"A","ICSE","Xinyu Wang","Towards optimal concolic testing.",true
2018,"A","ICSE","Xinyu Wang","Towards optimal concolic testing.",true
2018,"A","ICSE","Yuchi Tian","DeepTest: automated testing of deep-neural-network-driven autonomous cars",false
2018,"A","ICSE","Yuchi Tian","DeepTest: automated testing of deep-neural-network-driven autonomous cars",false
2018,"A","ICSE","Zhilei Ren","Automated Localization for Unreproducible Builds.",true
2018,"A","ICSE","Zhilei Ren","Automated Localization for Unreproducible Builds.",true
2018,"A","IJCAI","Bing Yu","Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting.",false
2018,"A","IJCAI","Chun Kai Ling","What game are we playing? End-to-end learning in normal and extensive form games.",true
2018,"A","IJCAI","Cristina Feier","From Conjunctive Queries to Instance Queries in Ontology-Mediated Querying.",true
2018,"A","IJCAI","Giannis Nikolentzos","A Degeneracy Framework for Graph Similarity.",true
2018,"A","IJCAI","Hao Zhou","Commonsense Knowledge Aware Conversation Generation with Graph Attention.",true
2018,"A","IJCAI","Ke Wang","SentiGAN: Generating Sentimental Texts via Mixture Adversarial Networks.",true
2018,"A","IJCAI","Li Xue","R-SVM+: Robust Learning with Privileged Information.",true
2018,"A","IJCAI","Masanori Suganuma","A Genetic Programming Approach to Designing Convolutional Neural Network Architectures.",false
2018,"A","IJCAI","Minghao Hu","Reinforced Mnemonic Reader for Machine Reading Comprehension.",false
2018,"A","IJCAI","Vincenzo Auletta","Reasoning about Consensus when Opinions Diffuse through Majority Dynamics.",true
2018,"A","INFOCOM","Igor Kadota","Optimizing Age of Information in Wireless Networks with Throughput Constraints.",true
2018,"A","INFOCOM","Jie Xu","Joint Service Caching and Task Offloading for Mobile Edge Computing in Dense Networks.",false
2018,"A","INFOCOM","Shiqiang Wang","When Edge Meets Learning: Adaptive Control for Resource-Constrained Distributed Machine Learning.",false
2018,"A","INFOCOM","Subhramoy Mohanti","WiFED: WiFi Friendly Energy Delivery with Distributed Beamforming.",true
2018,"A","INFOCOM","Ting Chen","Understanding Ethereum via Graph Analysis.",true
2018,"A","INFOCOM","Zhiyuan Xu","Experience-driven Networking: A Deep Reinforcement Learning based Approach.",false
2018,"A","KDD","Daniel Zügner","Adversarial Attacks on Neural Networks for Graph Data.",true
2018,"A","KDD","Jianxun Lian","xDeepFM: Combining Explicit and Implicit Feature Interactions for Recommender Systems.",false
2018,"A","KDD","Rex Ying","Graph Convolutional Neural Networks for Web-Scale Recommender Systems.",false
2018,"A","MOBICOM","Biyi Fang","NestDNN: Resource-Aware Multi-Tenant On-Device Deep Learning for Continuous Mobile Vision.",false
2018,"A","MOBICOM","Feng Qian","Flare: Practical Viewport-Adaptive 360-Degree Video Streaming for Mobile Devices.",false
2018,"A","MOBICOM","Mehrdad Moradi","SkyCore: Moving Core to the Edge for Untethered and Reliable UAV-based LTE Networks.",true
2018,"A","MOBICOM","Mengwei Xu","DeepCache: Principled Cache for Mobile Deep Vision.",false
2018,"A","MOBICOM","Milan Stute","One Billion Apples' Secret Sauce: Recipe for the Apple Wireless Direct Link Ad hoc Protocol.",true
2018,"A","OSDI","Ana Klimovic","Pocket: Elastic Ephemeral Storage for Serverless Analytics.",false
2018,"A","OSDI","Ranjita Bhagwan","Orca: Differential Bug Localization in Large-Scale Services.",true
2018,"A","OSDI","Tianqi Chen","TVM: An Automated End-to-End Optimizing Compiler for Deep Learning.",false
2018,"A","OSDI","Weidong Cui","REPT: Reverse Debugging of Failures in Deployed Software.",true
2018,"A","OSDI","Yizhou Shan","LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregation.",true
2018,"A","PLDI","Brandon Bohrer","VeriPhy: verified controller executables from verified cyber-physical system models.",false
2018,"A","PLDI","He Zhu","A data-driven CHC solver.",true
2018,"A","PLDI","Roshan Dathathri","Gluon: a communication-optimizing substrate for distributed heterogeneous graph analytics.",false
2018,"A","PLDI","Uri Alon","A General Path-Based Representation for Predicting Program Properties.",false
2018,"A","PPoPP","Linnan Wang","Superneurons: dynamic GPU memory management for training deep neural networks",false
2018,"A","PPoPP","Milind Chabbi","Featherlight on-the-fly false-sharing detection.",true
2018,"A","PPoPP","Xinliang Wang","swSpTRSV: a fast sparse triangular solve with sparse level tile layout on sunway architectures",false
2018,"A","PPoPP","Yue Zhao","Bridging the gap between deep learning and sparse matrix format selection",false
2018,"A","S&P","Eleftherios Kokoris-Kogias","OmniLedger: A Secure, Scale-Out, Decentralized Ledger via Sharding.",false
2018,"A","S&P","Nicholas Carlini","Audio Adversarial Examples: Targeted Attacks on Speech-to-Text.",false
2018,"A","S&P","Stevens Le Blond","On Enforcing the Digital Immunity of a Large Humanitarian Organization.",true
2018,"A","S&P","Timon Gehr","AI2: Safety and Robustness Certification of Neural Networks with Abstract Interpretation.",false
2018,"A","SIGCOMM","Amogh Dhamdhere","Inferring persistent interdomain congestion.",true
2018,"A","SIGCOMM","Arpit Gupta","Sonata: query-driven streaming network telemetry.",false
2018,"A","SIGCOMM","Behnam Montazeri","Homa: A Receiver-Driven Low-Latency Transport Protocol Using Network Priorities.",false
2018,"A","SIGCOMM","Junchen Jiang","Chameleon: scalable adaptation of video analytics.",false
2018,"A","SIGMOD","Huanchen Zhang","SuRF: Practical Range Query Filtering with Fast Succinct Tries.",true
2018,"A","SIGMOD","Lin Ma","Query-based Workload Forecasting for Self-Driving Database Management Systems.",false
2018,"A","SIGMOD","Nadime Francis","Cypher: An Evolving Query Language for Property Graphs.",false
2018,"A","SIGMOD","Sidharth Mudgal","Deep Learning for Entity Matching: A Design Space Exploration.",false
2018,"A","STOC","Artur Czumaj","Round Compression for Parallel Matching Algorithms.",false
2018,"A","STOC","Ilias Diakonikolas","List-Decodable Robust Mean Estimation and Learning Mixtures of Spherical Gaussians.",false
2018,"A","STOC","Ola Svensson","A Constant-Factor Approximation Algorithm for the Asymmetric Traveling Salesman Problem.",true
2018,"A","STOC","Samuel B. Hopkins","Mixture models, robustness, and sum of squares proofs",false
2018,"A","WWW","Dawen Liang","Variational Autoencoders for Collaborative Filtering.",false
2018,"A","WWW","Hongwei Wang","DKN: Deep Knowledge-Aware Network for News Recommendation.",false
2018,"A","WWW","Mehrdad Farajtabar","COEVOLVE: A Joint Point Process Model for Information Diffusion and Network Co-evolution",false
2018,"B","ACSAC","Dominik Wermke","A Large Scale Investigation of Obfuscation Use in Google Play.",false
2018,"B","ACSAC","Erik Sy","Tracking Users across the Web via TLS Session Resumption.",true
2018,"B","ACSAC","Ivica Nikolic","Finding The Greedy, Prodigal, and Suicidal Contracts at Scale.",false
2018,"B","ACSAC","Lingxiao Wei","I Know What You See: Power Side-Channel Attack on Convolutional Neural Network Accelerators.",false
2018,"B","CIKM","Balázs Hidasi","Recurrent Neural Networks with Top-k Gains for Session-based Recommendations.",false
2018,"B","CIKM","Hongwei Wang","RippleNet: Propagating User Preferences on the Knowledge Graph for Recommender Systems.",false
2018,"B","CIKM","Junqi Zhang","Relevance Estimation with Multiple Information Sources on Search Engine Result Pages.",true
2018,"B","CIKM","Mark Heimann","REGAL: Representation Learning-based Graph Alignment.",false
2018,"B","CoNEXT","Josep Xavier Salvat","Overbooking network slices through yield-driven end-to-end orchestration.",false
2018,"B","CoNEXT","Martino Trevisan","Five years at the edge: watching internet from the ISP network.",false
2018,"B","CoNEXT","Toke Høiland-Jørgensen","The eXpress data path: fast programmable packet processing in the operating system kernel.",false
2018,"B","CoNEXT","Yanyuan Qin","ABR streaming of VBR-encoded videos: characterization, challenges, and solutions.",true
2018,"B","ESEM","Adrian Santos","Comparing Techniques for Aggregating Interrelated Replications in Software Engineering.",true
2018,"B","ESEM","Ayushi Rastogi","Relationship between geographical location and evaluation of developer contributions in github.",true
2018,"B","ESEM","Bowen Xu","Prediction of relatedness in stack overflow: deep learning vs. SVM: a reproducibility study.",true
2018,"B","ESEM","Davide Fucci","A Longitudinal Cohort Study on the Retainment of Test-Driven Development.",true
2018,"B","ESEM","Gema Rodríguez-Pérez","What if a bug has a different origin?: making sense of bugs without an explicit bug introducing change.",true
2018,"B","ESEM","Ivan Pashchenko","Vulnerable Open Source Dependencies: Counting Those That Matter.",false
2018,"B","ESEM","Junji Shimagaki","Automatic topic classification of test cases using text mining at an Android smartphone vendor.",true
2018,"B","ESEM","Welder Pinheiro Luz","Building a collaborative culture: a grounded theory of well succeeded devops adoption in practice.",false
2018,"B","FPGA","Chang Gao","DeltaRNN: A Power-efficient Recurrent Neural Network Accelerator.",false
2018,"B","FPGA","Duncan J. M. Moss","A Customizable Matrix Multiplication Framework for the Intel HARPv2 Xeon+FPGA Platform: A Deep Learning Case Study.",false
2018,"B","FPGA","Shijie Zhou","FASTCF: FPGA-based Accelerator for STochastic-Gradient-Descent-based Collaborative Filtering.",true
2018,"B","FPGA","Shuo Wang","C-LSTM: Enabling Efficient LSTM using Structured Compression Techniques on FPGAs.",false
2018,"B","ICMR","Hongzhi Li","PatternNet: Visual Pattern Mining with Deep Neural Network.",true
2018,"B","ICMR","Kevin Joslyn","Cross-Modal Retrieval Using Deep De-correlated Subspace Ranking Hashing.",true
2018,"B","ICMR","Nico Hezel","Dynamic Construction and Manipulation of Hierarchical Quartic Image Graphs.",true
2018,"B","ICMR","Niluthpol Chowdhury Mithun","Learning Joint Embedding with Multimodal Cues for Cross-Modal Video-Text Retrieval.",true
2018,"B","ICMR","Wenjie Zhang","Deep Extreme Multi-label Learning.",false
2018,"B","ICMR","Xiangyu Yue","A LiDAR Point Cloud Generator: from a Virtual World to Autonomous Driving.",false
2018,"B","IMC","Costas Iordanou","Tracing Cross Border Web Tracking.",true
2018,"B","IMC","Jan Rüth","Digging into Browser-based Crypto Mining.",false
2018,"B","IMC","Platon Kotzias","Coming of Age: A Longitudinal Study of TLS Deployment.",true
2018,"B","IMC","Quirin Scheitle","A Long Way to the Top: Significance, Structure, and Stability of Internet Top Lists.",true
2018,"B","IMC","Savvas Zannettou","On the Origins of Memes by Means of Fringe Web Communities.",true
2018,"B","ISSTA","Anurag Dwarakanath","Identifying implementation bugs in machine learning based image classifiers using metamorphic testing.",false
2018,"B","ISSTA","Caroline Lemieux","PerfFuzz: automatically generating pathological inputs.",true
2018,"B","ISSTA","Chris Cummins","Compiler fuzzing through deep learning.",true
2018,"B","ISSTA","Jiajun Jiang","Shaping program repair space with existing patches and similar code.",false
2018,"B","MoDELS","Bernhard Westfechtel","From Single- to Multi-Variant Model Transformations: Trace-Based Propagation of Variability Annotations.",true
2018,"B","MoDELS","Carlos A. González","Enabling Model Testing of Cyber-Physical Systems.",true
2018,"B","MoDELS","Fabio Cremona","Hybrid Co-simulation: It's About Time.",false
2018,"B","MoDELS","Hugo Brunelière","A Feature-based Survey of Model View Approaches.",false
2018,"B","MoDELS","Loli Burgueño","Expressing Confidence in Models and in Model Transformation Elements.",true
2018,"B","MobiHoc","Chaoyun Zhang","Long-Term Mobile Traffic Forecasting Using Deep Spatio-Temporal Neural Networks",false
2018,"B","MobiHoc","Ning Lu","Age-based Scheduling: Improving Data Freshness for Wireless Real-Time Traffic.",false
2018,"B","MobiHoc","Xiaowen Gong","Incentivizing Truthful Data Quality for Quality-Aware Mobile Data Crowdsourcing.",false
2018,"B","PODS","Hung Q. Ngo","Worst-Case Optimal Join Algorithms: Techniques, Results, and Open Problems.",false
2018,"B","PODS","Mark Bun","Heavy Hitters and the Structure of Local Privacy",false
2018,"B","PODS","Wolfgang Fischl","General and Fractional Hypertree Decompositions: Hard and Easy Cases.",false
2018,"B","PODS","Yufei Tao","Entity Matching with Active Monotone Classification.",true
2018,"B","SIGMETRICS","Donghyuk Lee","Design-Induced Latency Variation in Modern DRAM Chips: Characterization, Analysis, and Latency Reduction Mechanisms.",false
2018,"B","SIGMETRICS","Nicolas Gast","A Refined Mean Field Approximation.",true
2018,"B","SIGMETRICS","Saugata Ghose","What Your DRAM Power Models Are Not Telling You: Lessons from a Detailed Experimental Study.",false
2018,"B","SIGMETRICS","Yixin Luo","Improving 3D NAND Flash Memory Lifetime by Tolerating Early Retention Loss and Process Variation.",false
2018,"B","SOCC","Andrew Chung","Stratus: cost-aware container scheduling in the public cloud.",true
2018,"B","SOCC","Hyuk-Jin Jeong","IONN: Incremental Offloading of Neural Network Computations from Mobile Devices to Edge Servers.",false
2018,"B","SOCC","Liang Luo","Parameter Hub: a Rack-Scale Parameter Server for Distributed Deep Neural Network Training.",false
2018,"B","SOCC","Lixiang Ao","Sprocket: A Serverless Video Processing Framework.",false
2018,"B","SOCC","Virajith Jalaparti","Netco: Cache and I/O Management for Analytics over Disaggregated Stores.",true
2018,"B","SenSys","Bernhard Großwindhager","SALMA: UWB-based Single-Anchor Localization System using Multipath Assistance.",false
2018,"B","SenSys","Kasim Sinan Yildirim","InK: Reactive Kernel for Tiny Batteryless Sensors.",false
2018,"B","SenSys","Shuochao Yao","FastDeepIoT: Towards Understanding and Optimizing Neural Network Execution Time on Mobile and Embedded Devices.",false
2018,"B","UIST","Alok Mysore","Porta: Profiling Software Tutorials Using Operating-System-Wide Activity Tracing.",true
2018,"B","UIST","Anusha I. Withana","Tacttoo: A Thin and Feel-Through Tattoo for On-Skin Tactile Output.",false
2018,"B","UIST","David Porfirio","Authoring and Verifying Human-Robot Interactions.",true
2018,"B","UIST","Patrick Parzer","RESi: A Highly Flexible, Pressure-Sensitive, Imperceptible Textile Interface Based on Resistive Yarns.",true
2018,"B","UIST","Ronan Hinchet","DextrES: Wearable Haptic Feedback for Grasping in VR via a Thin Form-Factor Electrostatic Brake.",false
2018,"B","UIST","Thomas F. Liu","Learning Design Semantics for Mobile Apps.",false
2017,"A","AAAI","Christian Szegedy","Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning.",false
2017,"A","AAAI","Junbo Zhang","Deep Spatio-Temporal Residual Networks for Citywide Crowd Flows Prediction.",false
2017,"A","AAAI","Lantao Yu","SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient.",false
2017,"A","AAAI","Russell Stewart","Label-Free Supervision of Neural Networks with Physics and Domain Knowledge.",true
2017,"A","CCS","Briland Hitaj","Deep Models Under the GAN: Information Leakage from Collaborative Deep Learning.",false
2017,"A","CCS","Dongyu Meng","MagNet: a Two-Pronged Defense against Adversarial Examples.",false
2017,"A","CCS","Guoming Zhang","DolphinAttack: Inaudible Voice Commands.",true
2017,"A","CCS","Jack Doerner","Scaling ORAM for Secure Computation.",true
2017,"A","CCS","Keith Bonawitz","Practical Secure Aggregation for Privacy-Preserving Machine Learning.",false
2017,"A","CCS","Pramod Subramanyan","A Formal Foundation for Secure Remote Execution of Enclaves.",true
2017,"A","CCS","Shay Gueron","Better Bounds for Block Cipher Modes of Operation via Nonce-Based Key Derivation.",true
2017,"A","CCS","Xiao Wang","Authenticated Garbling and Efficient Maliciously Secure Two-Party Computation.",true
2017,"A","CHI","Amanda Lazar","A Critical Lens on Dementia and Design in HCI.",true
2017,"A","CHI","Amanda Purington","""Alexa is my new BFF"": Social Roles, User Satisfaction, and Personification of the Amazon Echo.",false
2017,"A","CHI","Anbang Xu","A New Chatbot for Customer Service on Social Media.",false
2017,"A","CHI","Ari Schlesinger","Intersectional HCI: Engaging Identity through Gender, Race, and Class.",false
2017,"A","CHI","Blase Ur","Design and Evaluation of a Data-Driven Password Meter.",true
2017,"A","CHI","César Torres","Illumination Aesthetics: Light as a Creative Material within Computational Design.",true
2017,"A","CHI","Daniel A. Epstein","Examining Menstrual Tracking to Inform the Design of Personal Informatics Tools.",true
2017,"A","CHI","Fabius Steinberger","Designing Gamified Applications that Make Safe Driving More Engaging.",true
2017,"A","CHI","Jan Gugenheimer","ShareVR: Enabling Co-Located Experiences for Virtual Reality between HMD and Non-HMD Users.",true
2017,"A","CHI","Julie Rico Williamson","Understanding Public Evaluation: Quantifying Experimenter Intervention.",true
2017,"A","CHI","Jussi P. P. Jokinen","Modelling Learning of New Keyboard Layouts.",true
2017,"A","CHI","Kasper Hornbæk","What Is Interaction?",true
2017,"A","CHI","Lex Fridman","What Can Be Predicted from Six Seconds of Driver Glances?",true
2017,"A","CHI","Marguerite Barry","mHealth for Maternal Mental Health: Everyday Wisdom in Ethical Design.",true
2017,"A","CHI","Petr Slovák","Reflective Practicum: A Framework of Sensitising Concepts to Design for Transformative Reflection.",true
2017,"A","CHI","Sarah Webber","Kinecting with Orangutans: Zoo Visitors' Empathetic Responses to Animals? Use of Interactive Technology.",true
2017,"A","CHI","Tara Matthews","Stories from Survivors: Privacy & Security Practices when Coping with Intimate Partner Abuse.",true
2017,"A","CHI","Viirj Kan","Organic Primitives: Synthesis and Design of pH-Reactive Materials using Molecular I/O for Sensing, Actuation, and Interaction.",true
2017,"A","CHI","Wanyu Liu","BIGnav: Bayesian Information Gain for Guiding Multiscale Navigation.",true
2017,"A","CHI","Yea-Seul Kim","Explaining the Gap: Visualizing One's Predictions Improves Recall and Comprehension of Data.",true
2017,"A","CVPR","Abhishek Shrivastava","Learning from Simulated and Unsupervised Images through Adversarial Training.",true
2017,"A","CVPR","Gao Huang","Densely Connected Convolutional Networks",false
2017,"A","CVPR","Joseph Redmon","YOLO9000: Better, Faster, Stronger.",false
2017,"A","CVPR","Phillip Isola","Image-to-Image Translation with Conditional Adversarial Networks.",false
2017,"A","FOCS","Andrei A. Bulatov","A dichotomy theorem for nonuniform CSPs.",true
2017,"A","FOCS","Dmitriy Zhuk","A Proof of CSP Dichotomy Conjecture.",false
2017,"A","FOCS","Dmitriy Zhuk","The Proof of CSP Dichotomy Conjecture.",true
2017,"A","FOCS","Ola Svensson","The Matching Problem in General Graphs is in Quasi-NC.",true
2017,"A","FOCS","Sara Ahmadian","Better Guarantees for k-Means and Euclidean k-Median by Primal-Dual Algorithms.",false
